,Date,Hour,Min,Event Type,
,2020-06-06,10.0,6,FaceMask,
,2020-06-06,10.0,14,SocialDistancing,
,2020-06-06,10.0,1,Speeding,
,2020-06-06,9.0,36,FaceMask,
,2020-06-06,9.0,2,Gloves,
,2020-06-06,9.0,107,SocialDistancing,
,2020-06-06,9.0,22,Speeding,
,2020-06-06,2.0,3,SocialDistancing,
,2020-06-06,1.0,9,SocialDistancing,
,2020-06-06,0.0,3,SocialDistancing,
,2020-06-07,11.0,1,FaceMask,
,2020-06-07,11.0,1,SocialDistancing,
,2020-06-07,10.0,9,FaceMask,
,2020-06-07,10.0,7,Speeding,
,2020-06-07,10.0,1,Speeding,
,2020-06-07,9.0,64,FaceMask,
,2020-06-07,9.0,1,Gloves,
,2020-06-07,9.0,49,SocialDistancing,
,2020-06-07,9.0,10,Speeding,
,2020-06-07,0.0,5,FaceMask,
,2020-06-07,0.0,1,SocialDistancing,
,2020-06-08,23.0,11,SocialDistancing,
,2020-06-08,22.0,13,SocialDistancing,
,2020-06-08,21.0,6,SocialDistancing,
,2020-06-08,20.0,1,SocialDistancing,
,2020-06-08,19.0,3,SocialDistancing,
,2020-06-08,18.0,2,SocialDistancing,
,2020-06-08,12.0,8,FaceMask,
,2020-06-08,12.0,2,SocialDistancing,
,2020-06-08,12.0,3,Speeding,
,2020-06-08,12.0,3,Speeding,
,2020-06-08,11.0,6,FaceMask,
,2020-06-08,11.0,3,SocialDistancing,
,2020-06-08,11.0,15,Speeding,
,2020-06-08,10.0,22,FaceMask,
,2020-06-08,10.0,2,FaceMask,
,2020-06-08,10.0,1,SocialDistancing,
,2020-06-08,9.0,66,FaceMask,
,2020-06-08,9.0,1,FaceMask,
,2020-06-08,9.0,1,Gloves,
,2020-06-08,9.0,33,SocialDistancing,
,2020-06-08,9.0,3,SocialDistancing,
,2020-06-08,9.0,7,Speeding,
,2020-06-08,9.0,3,Speeding,
,2020-06-09,23.0,1,FaceMask,
,2020-06-09,23.0,5,SocialDistancing,
,2020-06-09,22.0,6,SocialDistancing,
,2020-06-09,21.0,2,SocialDistancing,
,2020-06-09,20.0,3,SocialDistancing,
,2020-06-09,19.0,3,SocialDistancing,
,2020-06-09,12.0,18,FaceMask,
,2020-06-09,12.0,2,FaceMask,
,2020-06-09,12.0,1,Gloves,
,2020-06-09,12.0,22,SocialDistancing,
,2020-06-09,12.0,1,SocialDistancing,
,2020-06-09,12.0,6,Speeding,
,2020-06-09,11.0,1,FaceMask,
,2020-06-09,11.0,1,Gloves,
,2020-06-09,11.0,2,SocialDistancing,
,2020-06-09,11.0,1,Speeding,
,2020-06-09,10.0,10,FaceMask,
,2020-06-09,10.0,2,FaceMask,
,2020-06-09,10.0,12,SocialDistancing,
,2020-06-09,10.0,3,Speeding,
,2020-06-09,10.0,3,Speeding,
,2020-06-09,9.0,52,FaceMask,
,2020-06-09,9.0,3,FaceMask,
,2020-06-09,9.0,48,SocialDistancing,
,2020-06-09,9.0,2,SocialDistancing,
,2020-06-09,9.0,21,Speeding,
,2020-06-09,9.0,4,Speeding,
,2020-06-09,1.0,3,SocialDistancing,
,2020-06-09,0.0,21,SocialDistancing,
,2020-06-10,23.0,7,SocialDistancing,
,2020-06-10,22.0,5,SocialDistancing,
,2020-06-10,21.0,2,SocialDistancing,
,2020-06-10,20.0,12,SocialDistancing,
,2020-06-10,19.0,9,SocialDistancing,
,2020-06-10,18.0,4,SocialDistancing,
,2020-06-10,12.0,3,FaceMask,
,2020-06-10,12.0,12,SocialDistancing,
,2020-06-10,12.0,4,Speeding,
,2020-06-10,11.0,3,FaceMask,
,2020-06-10,11.0,1,SocialDistancing,
,2020-06-10,10.0,13,FaceMask,
,2020-06-10,10.0,1,FaceMask,
,2020-06-10,10.0,15,SocialDistancing,
,2020-06-10,10.0,4,Speeding,
,2020-06-10,9.0,75,FaceMask,
,2020-06-10,9.0,1,FaceMask,
,2020-06-10,9.0,73,SocialDistancing,
,2020-06-10,9.0,3,SocialDistancing,
,2020-06-10,9.0,7,Speeding,
,2020-06-10,9.0,5,Speeding,
,2020-06-10,1.0,2,FaceMask,
,2020-06-10,1.0,2,SocialDistancing,
,2020-06-10,0.0,30,SocialDistancing,
,2020-06-11,12.0,3,FaceMask,
,2020-06-11,12.0,1,FaceMask,
,2020-06-11,12.0,6,SocialDistancing,
,2020-06-11,12.0,1,SocialDistancing,
,2020-06-11,12.0,2,Speeding,
,2020-06-11,11.0,6,FaceMask,
,2020-06-11,11.0,8,SocialDistancing,
,2020-06-11,11.0,2,Speeding,
,2020-06-11,10.0,1,FaceMask,
,2020-06-11,10.0,1,FaceMask,
,2020-06-11,10.0,19,SocialDistancing,
,2020-06-11,10.0,4,Speeding,
,2020-06-11,9.0,1,Driver entering,
,2020-06-11,9.0,35,FaceMask,
,2020-06-11,9.0,2,FaceMask,
,2020-06-11,9.0,1,Other damage,
,2020-06-11,9.0,162,SocialDistancing,
,2020-06-11,9.0,4,SocialDistancing,
,2020-06-11,9.0,35,Speeding,
,2020-06-11,9.0,3,Speeding,
,2020-06-11,1.0,1,SocialDistancing,
,2020-06-11,0.0,23,SocialDistancing,
,2020-06-12,12.0,3,Driver entering,
,2020-06-12,12.0,3,FaceMask,
,2020-06-12,12.0,2,SocialDistancing,
,2020-06-12,11.0,2,Driver entering,
,2020-06-12,11.0,5,FaceMask,
,2020-06-12,11.0,1,SocialDistancing,
,2020-06-12,11.0,34,SocialDistancing,
,2020-06-12,11.0,13,Speeding,
,2020-06-12,10.0,25,FaceMask,
,2020-06-12,10.0,30,SocialDistancing,
,2020-06-12,10.0,10,Speeding,
,2020-06-12,9.0,63,FaceMask,
,2020-06-12,9.0,60,SocialDistancing,
,2020-06-12,9.0,3,SocialDistancing,
,2020-06-12,9.0,7,Speeding,
,2020-06-12,9.0,2,Speeding,
,2020-06-13,22.0,2,FaceMask,
,2020-06-13,22.0,1,SocialDistancing,
,2020-06-13,12.0,1,FaceMask,
,2020-06-13,12.0,1,SocialDistancing,
,2020-06-13,11.0,2,Driver entering,
,2020-06-13,11.0,24,FaceMask,
,2020-06-13,11.0,5,SocialDistancing,
,2020-06-13,11.0,1,Speeding,
,2020-06-13,10.0,53,FaceMask,
,2020-06-13,10.0,12,SocialDistancing,
,2020-06-13,10.0,3,Speeding,
,2020-06-13,9.0,57,FaceMask,
,2020-06-13,9.0,2,Handcart Riding,
,2020-06-13,9.0,67,SocialDistancing,
,2020-06-13,9.0,9,Speeding,
,2020-06-14,12.0,1,FaceMask,
,2020-06-14,12.0,2,SocialDistancing,
,2020-06-14,11.0,4,FaceMask,
,2020-06-14,10.0,4,FaceMask,
,2020-06-14,10.0,1,FaceMask,
,2020-06-14,10.0,7,SocialDistancing,
,2020-06-14,10.0,4,Speeding,
,2020-06-14,10.0,1,Speeding,
,2020-06-14,9.0,52,FaceMask,
,2020-06-14,9.0,7,FaceMask,
,2020-06-14,9.0,43,SocialDistancing,
,2020-06-14,9.0,5,SocialDistancing,
,2020-06-14,9.0,2,Speeding,
,2020-06-15,12.0,1,FaceMask,
,2020-06-15,12.0,7,Speeding,
,2020-06-15,11.0,6,FaceMask,
,2020-06-15,11.0,3,SocialDistancing,
,2020-06-15,11.0,11,Speeding,
,2020-06-15,10.0,9,FaceMask,
,2020-06-15,10.0,16,SocialDistancing,
,2020-06-15,9.0,24,FaceMask,
,2020-06-15,9.0,5,FaceMask,
,2020-06-15,9.0,64,SocialDistancing,
,2020-06-15,9.0,5,SocialDistancing,
,2020-06-15,9.0,8,Speeding,
,2020-06-15,9.0,2,Speeding,
,2020-06-16,12.0,4,FaceMask,
,2020-06-16,12.0,3,SocialDistancing,
,2020-06-16,11.0,10,FaceMask,
,2020-06-16,11.0,4,SocialDistancing,
,2020-06-16,11.0,8,Speeding,
,2020-06-16,10.0,4,FaceMask,
,2020-06-16,10.0,14,SocialDistancing,
,2020-06-16,10.0,1,Speeding,
,2020-06-16,9.0,44,FaceMask,
,2020-06-16,9.0,79,SocialDistancing,
,2020-06-16,9.0,14,Speeding,
,2020-06-17,12.0,15,FaceMask,
,2020-06-17,12.0,10,SocialDistancing,
,2020-06-17,11.0,4,FaceMask,
,2020-06-17,11.0,1,SocialDistancing,
,2020-06-17,11.0,1,Speeding,
,2020-06-17,11.0,1,Speeding,
,2020-06-17,10.0,4,FaceMask,
,2020-06-17,10.0,10,SocialDistancing,
,2020-06-17,10.0,1,SocialDistancing,
,2020-06-17,10.0,1,Speeding,
,2020-06-17,9.0,44,FaceMask,
,2020-06-17,9.0,2,Other damage,
,2020-06-17,9.0,102,SocialDistancing,
,2020-06-17,9.0,5,SocialDistancing,
,2020-06-17,9.0,12,Speeding,
,2020-06-17,9.0,1,Speeding,
,2020-06-18,23.0,4,FaceMask,
,2020-06-18,12.0,6,FaceMask,
,2020-06-18,12.0,1,Other damage,
,2020-06-18,12.0,6,SocialDistancing,
,2020-06-18,12.0,8,Speeding,
,2020-06-18,11.0,5,FaceMask,
,2020-06-18,11.0,11,SocialDistancing,
,2020-06-18,11.0,3,Speeding,
,2020-06-18,10.0,23,FaceMask,
,2020-06-18,10.0,11,SocialDistancing,
,2020-06-18,10.0,3,Speeding,
,2020-06-18,9.0,69,FaceMask,
,2020-06-18,9.0,1,Other damage,
,2020-06-18,9.0,74,SocialDistancing,
,2020-06-18,9.0,1,Speeding,
,2020-06-19,12.0,5,FaceMask,
,2020-06-19,12.0,3,Speeding,
,2020-06-19,11.0,12,FaceMask,
,2020-06-19,11.0,11,SocialDistancing,
,2020-06-19,11.0,9,Speeding,
,2020-06-19,10.0,14,FaceMask,
,2020-06-19,10.0,16,SocialDistancing,
,2020-06-19,10.0,2,Speeding,
,2020-06-19,9.0,77,FaceMask,
,2020-06-19,9.0,1,Other damage,
,2020-06-19,9.0,68,SocialDistancing,
,2020-06-19,9.0,13,Speeding,
,2020-06-19,1.0,4,FaceMask,
,2020-06-19,0.0,3,FaceMask,
,2020-06-20,12.0,2,Speeding,
,2020-06-20,11.0,3,FaceMask,
,2020-06-20,11.0,2,SocialDistancing,
,2020-06-20,10.0,13,FaceMask,
,2020-06-20,10.0,17,SocialDistancing,
,2020-06-20,10.0,1,Speeding,
,2020-06-20,9.0,138,FaceMask,
,2020-06-20,9.0,113,SocialDistancing,
,2020-06-20,9.0,9,Speeding,
,2020-06-21,12.0,3,FaceMask,
,2020-06-21,11.0,5,FaceMask,
,2020-06-21,10.0,14,FaceMask,
,2020-06-21,10.0,7,SocialDistancing,
,2020-06-21,9.0,37,FaceMask,
,2020-06-21,9.0,1,Other damage,
,2020-06-21,9.0,53,SocialDistancing,
,2020-06-21,9.0,12,Speeding,
,2020-06-22,12.0,2,FaceMask,
,2020-06-22,12.0,4,SocialDistancing,
,2020-06-22,12.0,5,Speeding,
,2020-06-22,11.0,3,FaceMask,
,2020-06-22,11.0,4,SocialDistancing,
,2020-06-22,11.0,1,Speeding,
,2020-06-22,10.0,2,Driver entering,
,2020-06-22,10.0,18,FaceMask,
,2020-06-22,10.0,43,SocialDistancing,
,2020-06-22,10.0,4,Speeding,
,2020-06-22,9.0,1,Driver entering,
,2020-06-22,9.0,48,FaceMask,
,2020-06-22,9.0,112,SocialDistancing,
,2020-06-22,9.0,10,Speeding,
,2020-06-22,1.0,3,FaceMask,
,2020-06-22,1.0,5,SocialDistancing,
,2020-06-23,10.0,17,SocialDistancing,
,2020-06-23,9.0,34,SocialDistancing,
,2020-06-23,9.0,4,Speeding,
